domain,condition,model_seed,arm,evaluation_version,observed_failures,final_failure_probability,rmst,empirical_horizon,supported_horizon,empirical_horizon_01,supported_horizon_01,per_stream_bytes,shared_bytes,execution_status,absorbed_sequences,total_bytes_N1,total_bytes_N16,total_bytes_N128,amortized_bytes_N1,amortized_bytes_N16,amortized_bytes_N128,complete_call_ms_per_group_token,isolated_complete_call_ms_per_group_token,embedded_potentially_contended_ms_per_group_token,primary_timing_kind,diagnostic_loop_seconds,timing_scope
toy,s4_signed_lattice,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,24,4472,,,4496,4856,7544,4496.0,303.5,58.9375,,,,NOT_MEASURED,4.486278409999613,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_10,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,15,2336,,,2351,2576,4256,2351.0,161.0,33.25,,,,NOT_MEASURED,5.49638015399978,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_11,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,15,2336,,,2351,2576,4256,2351.0,161.0,33.25,,,,NOT_MEASURED,6.641176326999812,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_12,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,15,2336,,,2351,2576,4256,2351.0,161.0,33.25,,,,NOT_MEASURED,6.375477393000438,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_13,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,2336,,,2352,2592,4384,2352.0,162.0,34.25,,,,NOT_MEASURED,1.0454107479999948,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_14,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,2336,,,2352,2592,4384,2352.0,162.0,34.25,,,,NOT_MEASURED,1.0706591520001894,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_15,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,2336,,,2352,2592,4384,2352.0,162.0,34.25,,,,NOT_MEASURED,1.023032768000121,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNIFORM_16,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,2336,,,2352,2592,4384,2352.0,162.0,34.25,,,,NOT_MEASURED,0.9029292670002178,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,STOCHASTIC_4,v2-stochastic-seedkey,512,1.0,6.392578125,,,,,29,2387,,,2416,2851,6099,2416.0,178.1875,47.6484375,,,,NOT_MEASURED,11.88718304699978,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,18,2640,,,2658,2928,4944,2658.0,183.0,38.625,,,,NOT_MEASURED,1.2823889210003472,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,21,2424,,,2445,2760,5112,2445.0,172.5,39.9375,,,,NOT_MEASURED,5.634611565000341,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,512,1.0,24.25390625,,,,,18,2652,,,2670,2940,4956,2670.0,183.75,38.71875,,,,NOT_MEASURED,8.429245303000243,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,512,1.0,9.7890625,,,,,18,2642,,,2660,2930,4946,2660.0,183.125,38.640625,,,,NOT_MEASURED,1.2895707480001875,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,MIXED_4_8,v1-unchanged-finite-nonstochastic,512,1.0,24.35546875,,,,,14,2338,,,2352,2562,4130,2352.0,160.125,32.265625,,,,NOT_MEASURED,0.9069108090006921,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,MIXED_6_8,v1-unchanged-finite-nonstochastic,511,0.998046875,362.185546875,64,32,32,,14,2338,,,2352,2562,4130,2352.0,160.125,32.265625,,,,NOT_MEASURED,0.8861406680007349,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_rotation_2d,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,253,0.494140625,1606.634765625,512,256,256,,16,1463,,,1479,1719,3511,1479.0,107.4375,27.4296875,,,,NOT_MEASURED,1.3824007569992318,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,24,4465,,,4489,4849,7537,4489.0,303.0625,58.8828125,,,,NOT_MEASURED,1.10266240799956,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,40,4465,,,4505,5105,9585,4505.0,319.0625,74.8828125,,,,NOT_MEASURED,2.603835040999911,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_2,v1b-row-local-numerical-failure,512,1.0,0.201171875,,,,,13,4681,,,4694,4889,6345,4694.0,305.5625,49.5703125,,,,NOT_MEASURED,12.75452054500056,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_3,v1-unchanged-finite-nonstochastic,512,1.0,15.87890625,,,,,14,4681,,,4695,4905,6473,4695.0,306.5625,50.5703125,,,,NOT_MEASURED,4.358648270999765,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_4,v1-unchanged-finite-nonstochastic,512,1.0,67.8828125,,,,,14,4681,,,4695,4905,6473,4695.0,306.5625,50.5703125,,,,NOT_MEASURED,3.390486547999899,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_5,v1-unchanged-finite-nonstochastic,511,0.998046875,380.08203125,64,32,32,,15,4681,,,4696,4921,6601,4696.0,307.5625,51.5703125,,,,NOT_MEASURED,6.717161699999451,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_6,v1-unchanged-finite-nonstochastic,389,0.759765625,1286.77734375,256,128,128,,15,4681,,,4696,4921,6601,4696.0,307.5625,51.5703125,,,,NOT_MEASURED,2.1275793069999054,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_7,v1-unchanged-finite-nonstochastic,67,0.130859375,1968.16796875,1024,512,512,,16,4681,,,4697,4937,6729,4697.0,308.5625,52.5703125,,,,NOT_MEASURED,1.6450996650000889,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_8,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,16,4681,,,4697,4937,6729,4697.0,308.5625,52.5703125,,,,NOT_MEASURED,0.9043809100003273,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_9,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,17,4681,,,4698,4953,6857,4698.0,309.5625,53.5703125,,,,NOT_MEASURED,4.037001701000008,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_10,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,17,4682,,,4699,4954,6858,4699.0,309.625,53.578125,,,,NOT_MEASURED,7.892566596000506,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_11,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,18,4682,,,4700,4970,6986,4700.0,310.625,54.578125,,,,NOT_MEASURED,2.143780783000693,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_12,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,18,4682,,,4700,4970,6986,4700.0,310.625,54.578125,,,,NOT_MEASURED,8.71538934399996,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_13,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,19,4682,,,4701,4986,7114,4701.0,311.625,55.578125,,,,NOT_MEASURED,2.5170106740006304,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_14,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,19,4682,,,4701,4986,7114,4701.0,311.625,55.578125,,,,NOT_MEASURED,1.1082540360002895,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_15,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,4682,,,4702,5002,7242,4702.0,312.625,56.578125,,,,NOT_MEASURED,4.5765877819994785,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNIFORM_16,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,4682,,,4702,5002,7242,4702.0,312.625,56.578125,,,,NOT_MEASURED,1.067396703000668,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,STOCHASTIC_4,v2-stochastic-seedkey,512,1.0,37.986328125,,,,,30,4733,,,4763,5213,8573,4763.0,325.8125,66.9765625,,,,NOT_MEASURED,9.90520955700049,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,4986,,,5006,5306,7546,5006.0,331.625,58.953125,,,,NOT_MEASURED,1.1966889060004178,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,30,4770,,,4800,5250,8610,4800.0,328.125,67.265625,,,,NOT_MEASURED,1.5807257340002252,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,512,1.0,145.57421875,,,,,20,5022,,,5042,5342,7582,5042.0,333.875,59.234375,,,,NOT_MEASURED,1.2743764309998369,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,512,1.0,44.79296875,,,,,20,4988,,,5008,5308,7548,5008.0,331.75,58.96875,,,,NOT_MEASURED,1.204262192999522,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,MIXED_4_8,v1-unchanged-finite-nonstochastic,512,1.0,93.0625,,,,,15,4688,,,4703,4928,6608,4703.0,308.0,51.625,,,,NOT_MEASURED,0.9453539219994127,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,MIXED_6_8,v1-unchanged-finite-nonstochastic,232,0.453125,1661.505859375,512,256,256,,16,4688,,,4704,4944,6736,4704.0,309.0,52.625,,,,NOT_MEASURED,0.9770725130001665,includes gold and descriptive diagnostics; no production throughput claim
toy,s4_rotated,,COEFFICIENT_INT8_FP32,v1-unchanged-finite-nonstochastic,5,0.009765625,2046.02734375,2048,2048,2048,,24,1961,,,1985,2345,5033,1985.0,146.5625,39.3203125,,,,NOT_MEASURED,1.1068469170004391,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,NATIVE_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,24,5610,,,5634,5994,8682,5634.0,374.625,67.828125,,,,NOT_MEASURED,1.5395561129998896,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,NATIVE_FP64,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,40,5610,,,5650,6250,10730,5650.0,390.625,83.828125,,,,NOT_MEASURED,1.643062827999529,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_2,v1b-row-local-numerical-failure,512,1.0,0.36328125,,,,,13,5826,,,5839,6034,7490,5839.0,377.125,58.515625,,,,NOT_MEASURED,9.409519682998507,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_3,v1-unchanged-finite-nonstochastic,512,1.0,2.283203125,,,,,14,5826,,,5840,6050,7618,5840.0,378.125,59.515625,,,,NOT_MEASURED,1.2090845490001811,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_4,v1-unchanged-finite-nonstochastic,512,1.0,12.0546875,,,,,14,5826,,,5840,6050,7618,5840.0,378.125,59.515625,,,,NOT_MEASURED,1.1310168999998496,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_5,v1-unchanged-finite-nonstochastic,512,1.0,60.65234375,,,,,15,5826,,,5841,6066,7746,5841.0,379.125,60.515625,,,,NOT_MEASURED,1.247711277000235,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_6,v1-unchanged-finite-nonstochastic,512,1.0,206.60546875,32,,,,15,5826,,,5841,6066,7746,5841.0,379.125,60.515625,,,,NOT_MEASURED,1.2211183879999226,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_7,v1-unchanged-finite-nonstochastic,489,0.955078125,786.880859375,128,128,64,,16,5826,,,5842,6082,7874,5842.0,380.125,61.515625,,,,NOT_MEASURED,1.257230375999825,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_8,v1-unchanged-finite-nonstochastic,211,0.412109375,1727.638671875,512,512,256,,16,5826,,,5842,6082,7874,5842.0,380.125,61.515625,,,,NOT_MEASURED,1.1002306849995875,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_9,v1-unchanged-finite-nonstochastic,6,0.01171875,2044.455078125,2048,2048,1024,,17,5826,,,5843,6098,8002,5843.0,381.125,62.515625,,,,NOT_MEASURED,1.2790837020002073,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_10,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,17,5827,,,5844,6099,8003,5844.0,381.1875,62.5234375,,,,NOT_MEASURED,1.2409486099995775,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_11,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,18,5827,,,5845,6115,8131,5845.0,382.1875,63.5234375,,,,NOT_MEASURED,1.3107898719999866,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_12,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,18,5827,,,5845,6115,8131,5845.0,382.1875,63.5234375,,,,NOT_MEASURED,1.187512950999917,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_13,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,19,5827,,,5846,6131,8259,5846.0,383.1875,64.5234375,,,,NOT_MEASURED,1.2771450449999975,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_14,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,19,5827,,,5846,6131,8259,5846.0,383.1875,64.5234375,,,,NOT_MEASURED,1.25877309399948,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_15,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,5827,,,5847,6147,8387,5847.0,384.1875,65.5234375,,,,NOT_MEASURED,1.3193565530000342,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNIFORM_16,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,20,5827,,,5847,6147,8387,5847.0,384.1875,65.5234375,,,,NOT_MEASURED,1.178477190999729,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,STOCHASTIC_4,v2-stochastic-seedkey,512,1.0,6.5390625,,,,,30,5878,,,5908,6358,9718,5908.0,397.375,75.921875,,,,NOT_MEASURED,5.237777420999919,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,FULL_RESIDUAL_4_4,v1-unchanged-finite-nonstochastic,106,0.20703125,1914.140625,1024,512,512,,20,6131,,,6151,6451,8691,6151.0,403.1875,67.8984375,,,,NOT_MEASURED,1.531674598999416,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,FULL_RESIDUAL_4_FP32,v1-unchanged-finite-nonstochastic,0,0.0,2048.0,2048,2048,2048,,30,5915,,,5945,6395,9755,5945.0,399.6875,76.2109375,,,,NOT_MEASURED,2.1089626029997817,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,LOWRANK_4_8,v1-unchanged-finite-nonstochastic,512,1.0,21.267578125,,,,,20,6167,,,6187,6487,8727,6187.0,405.4375,68.1796875,,,,NOT_MEASURED,1.5934674330001144,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,UNTRANSPORTED_4_4,v1-unchanged-finite-nonstochastic,512,1.0,9.490234375,,,,,20,6133,,,6153,6453,8693,6153.0,403.3125,67.9140625,,,,NOT_MEASURED,1.5114213090000703,includes gold and descriptive diagnostics; no production throughput claim
toy,c31_moving_plane,,MIXED_4_8,v1-unchanged-finite-nonstochastic,512,1.0,15.4921875,,,,,15,5833,,,5848,6073,7753,5848.0,379.5625,60.5703125,,,,NOT_MEASURED,1.172498092000751,includes gold and descriptive diagnostics; no production throughput claim
